# print_axioms.txt — axiom census extracted from lake_build_transcript.txt (same run, post-F1/F3)
# Every top-level theorem in SE/Trust.lean's census; expected: exactly [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:143:0: 'SE.goal.composition_via_br' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:144:0: 'SE.goal.adv_quantitative' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:145:0: 'SE.br.composition' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:146:0: 'SE.denom.composition' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:147:0: 'SE.denom.dNorm_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:148:0: 'SE.denom.block_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:149:0: 'SE.denom.Phi.legal.tame.composition' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:150:0: 'SE.denom.Phi.legal.tame.csect_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:151:0: 'SE.denom.Phi.legal.tame.gcan_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:152:0: 'SE.denom.taper.holds' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:153:0: 'SE.K_eq_floor_rpow' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:154:0: 'SE.K_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:155:0: 'SE.taper_max' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:156:0: 'SE.alpha_le_sqrt' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:157:0: 'SE.Mconst_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:158:0: 'SE.inv_two_one_add_Mconst' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:159:0: 'SE.Cconst_digits' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:160:0: 'SE.one_sub_mul_sqrt_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:161:0: 'SE.errEnv_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:162:0: 'SE.tendsto_envBound' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:163:0: 'SE.SelfTest.emptySectorFrame_cited' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:164:0: 'SE.SelfTest.emptySectorFrame_t6' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:165:0: 'SE.SelfTest.emptySectorFrame_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:166:0: 'SE.SelfTest.emptySectorFrame_omega' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:167:0: 'SE.SelfTest.emptySectorFrame_sect' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:168:0: 'SE.SelfTest.hypotheses_consistent' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:169:0: 'SE.SelfTest.liveSectorFrame_cited' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:170:0: 'SE.SelfTest.liveSectorFrame_t6' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:171:0: 'SE.SelfTest.liveSectorFrame_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:172:0: 'SE.SelfTest.liveSectorFrame_omega' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:173:0: 'SE.SelfTest.liveSectorFrame_sect' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:174:0: 'SE.SelfTest.hypotheses_consistent_live' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:175:0: 'SE.SelfTest.channelFrame_cited' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:176:0: 'SE.SelfTest.channelFrame_t6' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:177:0: 'SE.SelfTest.channelFrame_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:178:0: 'SE.SelfTest.channelFrame_omega' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:179:0: 'SE.SelfTest.channelFrame_sect' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:180:0: 'SE.SelfTest.channelFrame_channels_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:181:0: 'SE.SelfTest.hypotheses_consistent_channels' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:182:0: 'SE.SelfTest.liveSectorFrame_goal' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:183:0: 'SE.SelfTest.channelFrame_goal' depends on axioms: [propext, Classical.choice, Quot.sound]
